feature_code,name,type,year,age,sex,number_assessed
S12000018,Inverclyde,Local Authority,2006/07,All,All,319
S12000018,Inverclyde,Local Authority,2007/08,All,All,278
S12000018,Inverclyde,Local Authority,2008/09,All,All,325
S12000018,Inverclyde,Local Authority,2009/10,All,All,246
S12000018,Inverclyde,Local Authority,2010/11,All,All,232
S12000018,Inverclyde,Local Authority,2011/12,All,All,245
S12000018,Inverclyde,Local Authority,2012/13,All,All,219
S12000018,Inverclyde,Local Authority,2013/14,All,All,207
S12000018,Inverclyde,Local Authority,2014/15,All,All,192
S12000018,Inverclyde,Local Authority,2015/16,All,All,177
S12000018,Inverclyde,Local Authority,2016/17,All,All,157
S12000018,Inverclyde,Local Authority,2017/18,All,All,161
S12000018,Inverclyde,Local Authority,2018/19,All,All,167
S12000050,North Lanarkshire,Local Authority,2006/07,All,All,338
S12000050,North Lanarkshire,Local Authority,2007/08,All,All,448
S12000050,North Lanarkshire,Local Authority,2008/09,All,All,397
S12000050,North Lanarkshire,Local Authority,2009/10,All,All,653
S12000050,North Lanarkshire,Local Authority,2010/11,All,All,816
S12000050,North Lanarkshire,Local Authority,2011/12,All,All,727
S12000050,North Lanarkshire,Local Authority,2012/13,All,All,787
S12000050,North Lanarkshire,Local Authority,2013/14,All,All,882
S12000050,North Lanarkshire,Local Authority,2014/15,All,All,818
S12000050,North Lanarkshire,Local Authority,2015/16,All,All,866
S12000050,North Lanarkshire,Local Authority,2016/17,All,All,890
S12000050,North Lanarkshire,Local Authority,2017/18,All,All,888
S12000050,North Lanarkshire,Local Authority,2018/19,All,All,875
S12000029,South Lanarkshire,Local Authority,2006/07,All,All,400
S12000029,South Lanarkshire,Local Authority,2007/08,All,All,483
S12000029,South Lanarkshire,Local Authority,2008/09,All,All,460
S12000029,South Lanarkshire,Local Authority,2009/10,All,All,552
S12000029,South Lanarkshire,Local Authority,2010/11,All,All,373
S12000029,South Lanarkshire,Local Authority,2011/12,All,All,369
S12000029,South Lanarkshire,Local Authority,2012/13,All,All,390
S12000029,South Lanarkshire,Local Authority,2013/14,All,All,503
S12000029,South Lanarkshire,Local Authority,2014/15,All,All,469
S12000029,South Lanarkshire,Local Authority,2015/16,All,All,783
S12000029,South Lanarkshire,Local Authority,2016/17,All,All,692
S12000029,South Lanarkshire,Local Authority,2017/18,All,All,539
S12000029,South Lanarkshire,Local Authority,2018/19,All,All,570
S12000010,East Lothian,Local Authority,2006/07,All,All,264
S12000010,East Lothian,Local Authority,2007/08,All,All,231
S12000010,East Lothian,Local Authority,2008/09,All,All,199
S12000010,East Lothian,Local Authority,2009/10,All,All,213
S12000010,East Lothian,Local Authority,2010/11,All,All,148
S12000010,East Lothian,Local Authority,2011/12,All,All,183
S12000010,East Lothian,Local Authority,2012/13,All,All,133
S12000010,East Lothian,Local Authority,2013/14,All,All,166
S12000010,East Lothian,Local Authority,2014/15,All,All,230
S12000010,East Lothian,Local Authority,2015/16,All,All,168
S12000010,East Lothian,Local Authority,2016/17,All,All,177
S12000010,East Lothian,Local Authority,2017/18,All,All,155
S12000010,East Lothian,Local Authority,2018/19,All,All,145
S12000040,West Lothian,Local Authority,2006/07,All,All,506
S12000040,West Lothian,Local Authority,2007/08,All,All,540
S12000040,West Lothian,Local Authority,2008/09,All,All,509
S12000040,West Lothian,Local Authority,2009/10,All,All,483
S12000040,West Lothian,Local Authority,2010/11,All,All,433
S12000040,West Lothian,Local Authority,2011/12,All,All,381
S12000040,West Lothian,Local Authority,2012/13,All,All,447
S12000040,West Lothian,Local Authority,2013/14,All,All,522
S12000040,West Lothian,Local Authority,2014/15,All,All,586
S12000040,West Lothian,Local Authority,2015/16,All,All,540
S12000040,West Lothian,Local Authority,2016/17,All,All,501
S12000040,West Lothian,Local Authority,2017/18,All,All,447
S12000040,West Lothian,Local Authority,2018/19,All,All,449
S12000019,Midlothian,Local Authority,2006/07,All,All,178
S12000019,Midlothian,Local Authority,2007/08,All,All,127
S12000019,Midlothian,Local Authority,2008/09,All,All,144
S12000019,Midlothian,Local Authority,2009/10,All,All,130
S12000019,Midlothian,Local Authority,2010/11,All,All,145
S12000019,Midlothian,Local Authority,2011/12,All,All,142
S12000019,Midlothian,Local Authority,2012/13,All,All,163
S12000019,Midlothian,Local Authority,2013/14,All,All,177
S12000019,Midlothian,Local Authority,2014/15,All,All,191
S12000019,Midlothian,Local Authority,2015/16,All,All,158
S12000019,Midlothian,Local Authority,2016/17,All,All,164
S12000019,Midlothian,Local Authority,2017/18,All,All,122
S12000019,Midlothian,Local Authority,2018/19,All,All,111
S12000020,Moray,Local Authority,2006/07,All,All,119
S12000020,Moray,Local Authority,2007/08,All,All,95
S12000020,Moray,Local Authority,2008/09,All,All,92
S12000020,Moray,Local Authority,2009/10,All,All,80
S12000020,Moray,Local Authority,2010/11,All,All,138
S12000020,Moray,Local Authority,2011/12,All,All,111
S12000020,Moray,Local Authority,2012/13,All,All,66
S12000020,Moray,Local Authority,2013/14,All,All,50
S12000020,Moray,Local Authority,2014/15,All,All,85
S12000020,Moray,Local Authority,2015/16,All,All,95
S12000020,Moray,Local Authority,2016/17,All,All,113
S12000020,Moray,Local Authority,2017/18,All,All,157
S12000020,Moray,Local Authority,2018/19,All,All,136
S12000023,Orkney Islands,Local Authority,2006/07,All,All,8
S12000023,Orkney Islands,Local Authority,2007/08,All,All,NA
S12000023,Orkney Islands,Local Authority,2008/09,All,All,NA
S12000023,Orkney Islands,Local Authority,2009/10,All,All,NA
S12000023,Orkney Islands,Local Authority,2010/11,All,All,5
S12000023,Orkney Islands,Local Authority,2011/12,All,All,NA
S12000023,Orkney Islands,Local Authority,2012/13,All,All,NA
S12000023,Orkney Islands,Local Authority,2013/14,All,All,8
S12000023,Orkney Islands,Local Authority,2014/15,All,All,NA
S12000023,Orkney Islands,Local Authority,2015/16,All,All,5
S12000023,Orkney Islands,Local Authority,2016/17,All,All,NA
S12000023,Orkney Islands,Local Authority,2017/18,All,All,5
S12000048,Perth and Kinross,Local Authority,2006/07,All,All,166
S12000048,Perth and Kinross,Local Authority,2007/08,All,All,240
S12000048,Perth and Kinross,Local Authority,2008/09,All,All,268
S12000048,Perth and Kinross,Local Authority,2009/10,All,All,122
S12000048,Perth and Kinross,Local Authority,2010/11,All,All,176
S12000048,Perth and Kinross,Local Authority,2011/12,All,All,278
S12000048,Perth and Kinross,Local Authority,2012/13,All,All,276
S12000048,Perth and Kinross,Local Authority,2013/14,All,All,NA
S12000048,Perth and Kinross,Local Authority,2014/15,All,All,261
S12000048,Perth and Kinross,Local Authority,2015/16,All,All,328
S12000048,Perth and Kinross,Local Authority,2016/17,All,All,344
S12000048,Perth and Kinross,Local Authority,2017/18,All,All,222
S12000048,Perth and Kinross,Local Authority,2018/19,All,All,197
S12000038,Renfrewshire,Local Authority,2006/07,All,All,336
S12000038,Renfrewshire,Local Authority,2007/08,All,All,391
S12000038,Renfrewshire,Local Authority,2008/09,All,All,467
S12000038,Renfrewshire,Local Authority,2009/10,All,All,489
S12000038,Renfrewshire,Local Authority,2010/11,All,All,491
S12000038,Renfrewshire,Local Authority,2011/12,All,All,432
S12000038,Renfrewshire,Local Authority,2012/13,All,All,410
S12000038,Renfrewshire,Local Authority,2013/14,All,All,443
S12000038,Renfrewshire,Local Authority,2014/15,All,All,379
S12000038,Renfrewshire,Local Authority,2015/16,All,All,325
S12000038,Renfrewshire,Local Authority,2016/17,All,All,329
S12000038,Renfrewshire,Local Authority,2017/18,All,All,204
S12000038,Renfrewshire,Local Authority,2018/19,All,All,250
S12000011,East Renfrewshire,Local Authority,2006/07,All,All,85
S12000011,East Renfrewshire,Local Authority,2007/08,All,All,86
S12000011,East Renfrewshire,Local Authority,2008/09,All,All,118
S12000011,East Renfrewshire,Local Authority,2009/10,All,All,112
S12000011,East Renfrewshire,Local Authority,2010/11,All,All,71
S12000011,East Renfrewshire,Local Authority,2011/12,All,All,76
S12000011,East Renfrewshire,Local Authority,2012/13,All,All,56
S12000011,East Renfrewshire,Local Authority,2013/14,All,All,53
S12000011,East Renfrewshire,Local Authority,2014/15,All,All,47
S12000011,East Renfrewshire,Local Authority,2015/16,All,All,46
S12000011,East Renfrewshire,Local Authority,2016/17,All,All,73
S12000011,East Renfrewshire,Local Authority,2017/18,All,All,86
S12000011,East Renfrewshire,Local Authority,2018/19,All,All,69
S12000027,Shetland Islands,Local Authority,2006/07,All,All,46
S12000027,Shetland Islands,Local Authority,2007/08,All,All,45
S12000027,Shetland Islands,Local Authority,2008/09,All,All,49
S12000027,Shetland Islands,Local Authority,2009/10,All,All,65
S12000027,Shetland Islands,Local Authority,2010/11,All,All,69
S12000027,Shetland Islands,Local Authority,2011/12,All,All,46
S12000027,Shetland Islands,Local Authority,2012/13,All,All,39
S12000027,Shetland Islands,Local Authority,2013/14,All,All,35
S12000027,Shetland Islands,Local Authority,2014/15,All,All,27
S12000027,Shetland Islands,Local Authority,2015/16,All,All,25
S12000027,Shetland Islands,Local Authority,2016/17,All,All,41
S12000027,Shetland Islands,Local Authority,2017/18,All,All,31
S12000027,Shetland Islands,Local Authority,2018/19,All,All,31
S12000030,Stirling,Local Authority,2006/07,All,All,135
S12000030,Stirling,Local Authority,2007/08,All,All,160
S12000030,Stirling,Local Authority,2008/09,All,All,156
S12000030,Stirling,Local Authority,2009/10,All,All,160
S12000030,Stirling,Local Authority,2010/11,All,All,187
S12000030,Stirling,Local Authority,2011/12,All,All,176
S12000030,Stirling,Local Authority,2012/13,All,All,191
S12000030,Stirling,Local Authority,2013/14,All,All,179
S12000030,Stirling,Local Authority,2014/15,All,All,232
S12000030,Stirling,Local Authority,2015/16,All,All,204
S12000030,Stirling,Local Authority,2016/17,All,All,182
S12000030,Stirling,Local Authority,2017/18,All,All,167
S12000030,Stirling,Local Authority,2018/19,All,All,196
S92000003,Scotland,Scotland,2006/07,Under 20yrs old,All,1054
S92000003,Scotland,Scotland,2006/07,20 to 24 yrs old,All,2075
S92000003,Scotland,Scotland,2006/07,25 to 29 yrs old,All,2905
S92000003,Scotland,Scotland,2006/07,30 to 34 yrs old,All,2603
S92000003,Scotland,Scotland,2006/07,35 to 39 yrs old,All,1766
S92000003,Scotland,Scotland,2006/07,40 to 44 yrs old,All,982
S92000003,Scotland,Scotland,2006/07,45+ yrs old,All,801
S92000003,Scotland,Scotland,2006/07,Unknown,All,0
S92000003,Scotland,Scotland,2007/08,Under 20yrs old,All,1043
S92000003,Scotland,Scotland,2007/08,20 to 24 yrs old,All,2124
S92000003,Scotland,Scotland,2007/08,25 to 29 yrs old,All,3017
S92000003,Scotland,Scotland,2007/08,30 to 34 yrs old,All,2666
S92000003,Scotland,Scotland,2007/08,35 to 39 yrs old,All,1967
S92000003,Scotland,Scotland,2007/08,40 to 44 yrs old,All,1104
S92000003,Scotland,Scotland,2007/08,45+ yrs old,All,1008
S92000003,Scotland,Scotland,2007/08,Unknown,All,2
S92000003,Scotland,Scotland,2008/09,Under 20yrs old,All,924
S92000003,Scotland,Scotland,2008/09,20 to 24 yrs old,All,1838
S92000003,Scotland,Scotland,2008/09,25 to 29 yrs old,All,2859
S92000003,Scotland,Scotland,2008/09,30 to 34 yrs old,All,2474
S92000003,Scotland,Scotland,2008/09,35 to 39 yrs old,All,1814
S92000003,Scotland,Scotland,2008/09,40 to 44 yrs old,All,1170
S92000003,Scotland,Scotland,2008/09,45+ yrs old,All,1038
S92000003,Scotland,Scotland,2008/09,Unknown,All,0
S92000003,Scotland,Scotland,2009/10,Under 20yrs old,All,762
S92000003,Scotland,Scotland,2009/10,20 to 24 yrs old,All,1581
S92000003,Scotland,Scotland,2009/10,25 to 29 yrs old,All,2460
S92000003,Scotland,Scotland,2009/10,30 to 34 yrs old,All,2456
S92000003,Scotland,Scotland,2009/10,35 to 39 yrs old,All,1924
S92000003,Scotland,Scotland,2009/10,40 to 44 yrs old,All,1174
S92000003,Scotland,Scotland,2009/10,45+ yrs old,All,959
S92000003,Scotland,Scotland,2009/10,Unknown,All,1
S92000003,Scotland,Scotland,2010/11,Under 20yrs old,All,725
S92000003,Scotland,Scotland,2010/11,20 to 24 yrs old,All,1516
