_id,FinancialYear,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAssessed,NumberAssessedQF,PercentAssessed,PercentAssessedQF
283,2017/18,S92000003,d,Under 20yrs old,"",All,d,519,"",4.70492,""
284,2017/18,S92000003,d,20 to 24 yrs old,"",All,d,1021,"",9.25573,""
285,2017/18,S92000003,d,25 to 29 yrs old,"",All,d,1594,"",14.45019,""
286,2017/18,S92000003,d,30 to 34 yrs old,"",All,d,2003,"",18.15792,""
287,2017/18,S92000003,d,35 to 39 yrs old,"",All,d,2155,"",19.53585,""
288,2017/18,S92000003,d,40 to 44 yrs old,"",All,d,1657,"",15.0213,""
289,2017/18,S92000003,d,45+ yrs old,"",All,d,2078,"",18.83782,""
290,2017/18,S92000003,d,Unknown,"",All,d,4,"",0.03626,""
291,2018/19,S92000003,d,Under 20yrs old,"",All,d,492,"",4.57377,""
292,2018/19,S92000003,d,20 to 24 yrs old,"",All,d,1025,"",9.52868,""
293,2018/19,S92000003,d,25 to 29 yrs old,"",All,d,1635,"",15.19941,""
294,2018/19,S92000003,d,30 to 34 yrs old,"",All,d,1951,"",18.13703,""
295,2018/19,S92000003,d,35 to 39 yrs old,"",All,d,2058,"",19.13173,""
296,2018/19,S92000003,d,40 to 44 yrs old,"",All,d,1573,"",14.62304,""
297,2018/19,S92000003,d,45+ yrs old,"",All,d,2017,"",18.75058,""
298,2018/19,S92000003,d,Unknown,"",All,d,6,"",0.05578,""
299,2006/07,S08000015,"",Under 20yrs old,"",All,d,45,"",3.9267,""
300,2006/07,S08000015,"",20 to 24 yrs old,"",All,d,150,"",13.08901,""
301,2006/07,S08000015,"",25 to 29 yrs old,"",All,d,227,"",19.80803,""
302,2006/07,S08000015,"",30 to 34 yrs old,"",All,d,304,"",26.52705,""
303,2006/07,S08000015,"",35 to 39 yrs old,"",All,d,198,"",17.27749,""
304,2006/07,S08000015,"",40 to 44 yrs old,"",All,d,108,"",9.42408,""
305,2006/07,S08000015,"",45+ yrs old,"",All,d,114,"",9.94764,""
306,2006/07,S08000015,"",Unknown,"",All,d,0,"",0,""
307,2007/08,S08000015,"",Under 20yrs old,"",All,d,45,"",4.69239,""
308,2007/08,S08000015,"",20 to 24 yrs old,"",All,d,131,"",13.66006,""
309,2007/08,S08000015,"",25 to 29 yrs old,"",All,d,221,"",23.04484,""
310,2007/08,S08000015,"",30 to 34 yrs old,"",All,d,214,"",22.31491,""
311,2007/08,S08000015,"",35 to 39 yrs old,"",All,d,161,"",16.78832,""
312,2007/08,S08000015,"",40 to 44 yrs old,"",All,d,96,"",10.01043,""
313,2007/08,S08000015,"",45+ yrs old,"",All,d,91,"",9.48905,""
314,2007/08,S08000015,"",Unknown,"",All,d,0,"",0,""
315,2008/09,S08000015,"",Under 20yrs old,"",All,d,47,"",4.26885,""
316,2008/09,S08000015,"",20 to 24 yrs old,"",All,d,138,"",12.53406,""
317,2008/09,S08000015,"",25 to 29 yrs old,"",All,d,214,"",19.43688,""
318,2008/09,S08000015,"",30 to 34 yrs old,"",All,d,228,"",20.70845,""
319,2008/09,S08000015,"",35 to 39 yrs old,"",All,d,184,"",16.71208,""
320,2008/09,S08000015,"",40 to 44 yrs old,"",All,d,133,"",12.07993,""
321,2008/09,S08000015,"",45+ yrs old,"",All,d,157,"",14.25976,""
322,2008/09,S08000015,"",Unknown,"",All,d,0,"",0,""
323,2009/10,S08000015,"",Under 20yrs old,"",All,d,35,"",2.53073,""
324,2009/10,S08000015,"",20 to 24 yrs old,"",All,d,121,"",8.7491,""
325,2009/10,S08000015,"",25 to 29 yrs old,"",All,d,242,"",17.49819,""
326,2009/10,S08000015,"",30 to 34 yrs old,"",All,d,308,"",22.27043,""
327,2009/10,S08000015,"",35 to 39 yrs old,"",All,d,331,"",23.93348,""
328,2009/10,S08000015,"",40 to 44 yrs old,"",All,d,185,"",13.37672,""
329,2009/10,S08000015,"",45+ yrs old,"",All,d,161,"",11.64136,""
330,2009/10,S08000015,"",Unknown,"",All,d,0,"",0,""
331,2010/11,S08000015,"",Under 20yrs old,"",All,d,37,"",2.78614,""
332,2010/11,S08000015,"",20 to 24 yrs old,"",All,d,112,"",8.43373,""
333,2010/11,S08000015,"",25 to 29 yrs old,"",All,d,238,"",17.92169,""
334,2010/11,S08000015,"",30 to 34 yrs old,"",All,d,319,"",24.02108,""
335,2010/11,S08000015,"",35 to 39 yrs old,"",All,d,311,"",23.41867,""
336,2010/11,S08000015,"",40 to 44 yrs old,"",All,d,178,"",13.40361,""
337,2010/11,S08000015,"",45+ yrs old,"",All,d,133,"",10.01506,""
338,2010/11,S08000015,"",Unknown,"",All,d,0,"",0,""
339,2011/12,S08000015,"",Under 20yrs old,"",All,d,41,"",3.5163,""
340,2011/12,S08000015,"",20 to 24 yrs old,"",All,d,96,"",8.23328,""
341,2011/12,S08000015,"",25 to 29 yrs old,"",All,d,224,"",19.21098,""
342,2011/12,S08000015,"",30 to 34 yrs old,"",All,d,262,"",22.46998,""
343,2011/12,S08000015,"",35 to 39 yrs old,"",All,d,230,"",19.72556,""
344,2011/12,S08000015,"",40 to 44 yrs old,"",All,d,171,"",14.66552,""
345,2011/12,S08000015,"",45+ yrs old,"",All,d,142,"",12.17839,""
346,2011/12,S08000015,"",Unknown,"",All,d,0,"",0,""
347,2012/13,S08000015,"",Under 20yrs old,"",All,d,39,"",3.63128,""
348,2012/13,S08000015,"",20 to 24 yrs old,"",All,d,108,"",10.05587,""
349,2012/13,S08000015,"",25 to 29 yrs old,"",All,d,170,"",15.82868,""
350,2012/13,S08000015,"",30 to 34 yrs old,"",All,d,227,"",21.13594,""
351,2012/13,S08000015,"",35 to 39 yrs old,"",All,d,197,"",18.34264,""
352,2012/13,S08000015,"",40 to 44 yrs old,"",All,d,167,"",15.54935,""
353,2012/13,S08000015,"",45+ yrs old,"",All,d,166,"",15.45624,""
354,2012/13,S08000015,"",Unknown,"",All,d,0,"",0,""
355,2013/14,S08000015,"",Under 20yrs old,"",All,d,30,"",2.20103,""
356,2013/14,S08000015,"",20 to 24 yrs old,"",All,d,98,"",7.19002,""
357,2013/14,S08000015,"",25 to 29 yrs old,"",All,d,217,"",15.92076,""
358,2013/14,S08000015,"",30 to 34 yrs old,"",All,d,302,"",22.15701,""
359,2013/14,S08000015,"",35 to 39 yrs old,"",All,d,305,"",22.37711,""
360,2013/14,S08000015,"",40 to 44 yrs old,"",All,d,187,"",13.71974,""
361,2013/14,S08000015,"",45+ yrs old,"",All,d,224,"",16.43434,""
362,2013/14,S08000015,"",Unknown,"",All,d,0,"",0,""
363,2014/15,S08000015,"",Under 20yrs old,"",All,d,47,"",3.85878,""
364,2014/15,S08000015,"",20 to 24 yrs old,"",All,d,110,"",9.0312,""
365,2014/15,S08000015,"",25 to 29 yrs old,"",All,d,203,"",16.66667,""
366,2014/15,S08000015,"",30 to 34 yrs old,"",All,d,251,"",20.60755,""
367,2014/15,S08000015,"",35 to 39 yrs old,"",All,d,203,"",16.66667,""
368,2014/15,S08000015,"",40 to 44 yrs old,"",All,d,177,"",14.53202,""
369,2014/15,S08000015,"",45+ yrs old,"",All,d,227,"",18.63711,""
370,2014/15,S08000015,"",Unknown,"",All,d,0,"",0,""
371,2015/16,S08000015,"",Under 20yrs old,"",All,d,47,"",4.03087,""
372,2015/16,S08000015,"",20 to 24 yrs old,"",All,d,112,"",9.60549,""
373,2015/16,S08000015,"",25 to 29 yrs old,"",All,d,185,"",15.86621,""
