_id,FinancialYear,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAssessed,NumberAssessedQF,PercentAssessed,PercentAssessedQF
279,2011/12,S12000050,"",All,d,All,d,727,"",100,""
280,2012/13,S12000050,"",All,d,All,d,787,"",100,""
281,2013/14,S12000050,"",All,d,All,d,882,"",100,""
282,2014/15,S12000050,"",All,d,All,d,818,"",100,""
283,2015/16,S12000050,"",All,d,All,d,866,"",100,""
284,2016/17,S12000050,"",All,d,All,d,890,"",100,""
285,2017/18,S12000050,"",All,d,All,d,888,"",100,""
286,2018/19,S12000050,"",All,d,All,d,875,"",100,""
287,2006/07,S12000029,"",All,d,All,d,400,"",100,""
288,2007/08,S12000029,"",All,d,All,d,483,"",100,""
289,2008/09,S12000029,"",All,d,All,d,460,"",100,""
290,2009/10,S12000029,"",All,d,All,d,552,"",100,""
291,2010/11,S12000029,"",All,d,All,d,373,"",100,""
292,2011/12,S12000029,"",All,d,All,d,369,"",100,""
293,2012/13,S12000029,"",All,d,All,d,390,"",100,""
294,2013/14,S12000029,"",All,d,All,d,503,"",100,""
295,2014/15,S12000029,"",All,d,All,d,469,"",100,""
296,2015/16,S12000029,"",All,d,All,d,783,"",100,""
297,2016/17,S12000029,"",All,d,All,d,692,"",100,""
298,2017/18,S12000029,"",All,d,All,d,539,"",100,""
299,2018/19,S12000029,"",All,d,All,d,570,"",100,""
300,2006/07,S12000010,"",All,d,All,d,264,"",100,""
301,2007/08,S12000010,"",All,d,All,d,231,"",100,""
302,2008/09,S12000010,"",All,d,All,d,199,"",100,""
303,2009/10,S12000010,"",All,d,All,d,213,"",100,""
304,2010/11,S12000010,"",All,d,All,d,148,"",100,""
305,2011/12,S12000010,"",All,d,All,d,183,"",100,""
306,2012/13,S12000010,"",All,d,All,d,133,"",100,""
307,2013/14,S12000010,"",All,d,All,d,166,"",100,""
308,2014/15,S12000010,"",All,d,All,d,230,"",100,""
309,2015/16,S12000010,"",All,d,All,d,168,"",100,""
310,2016/17,S12000010,"",All,d,All,d,177,"",100,""
311,2017/18,S12000010,"",All,d,All,d,155,"",100,""
312,2018/19,S12000010,"",All,d,All,d,145,"",100,""
313,2006/07,S12000040,"",All,d,All,d,506,"",100,""
314,2007/08,S12000040,"",All,d,All,d,540,"",100,""
315,2008/09,S12000040,"",All,d,All,d,509,"",100,""
316,2009/10,S12000040,"",All,d,All,d,483,"",100,""
317,2010/11,S12000040,"",All,d,All,d,433,"",100,""
318,2011/12,S12000040,"",All,d,All,d,381,"",100,""
319,2012/13,S12000040,"",All,d,All,d,447,"",100,""
320,2013/14,S12000040,"",All,d,All,d,522,"",100,""
321,2014/15,S12000040,"",All,d,All,d,586,"",100,""
322,2015/16,S12000040,"",All,d,All,d,540,"",100,""
323,2016/17,S12000040,"",All,d,All,d,501,"",100,""
324,2017/18,S12000040,"",All,d,All,d,447,"",100,""
325,2018/19,S12000040,"",All,d,All,d,449,"",100,""
326,2006/07,S12000019,"",All,d,All,d,178,"",100,""
327,2007/08,S12000019,"",All,d,All,d,127,"",100,""
328,2008/09,S12000019,"",All,d,All,d,144,"",100,""
329,2009/10,S12000019,"",All,d,All,d,130,"",100,""
330,2010/11,S12000019,"",All,d,All,d,145,"",100,""
331,2011/12,S12000019,"",All,d,All,d,142,"",100,""
